0,287.5304
200,288.6538
400,289.3754
600,289.3915
800,289.4475
1000,289.6267
1200,290.3184
1400,291.8912
1600,293.4348
1800,294.6531
2000,295.687
2200,297.0187
2400,298.0384
2600,298.9776
2800,300.1446
3000,301.2444
3200,302.191
3400,303.1796
3600,304.1587
3800,305.0207
4000,306.1729
4200,307.2642
4400,307.1292
4600,308.0763
4800,308.4592
5000,307.9234
5200,309.8039
5400,311.0738
5600,311.5281
5800,311.6563
6000,312.509
6500,313.6685
7000,314.9244
7500,318.2059
8000,319.0986
8500,321.2467
9000,323.7465
9500,324.4763
10000,326.0995
10500,326.3356
11000,327.1682
11500,331.8664
12000,340.4409
12500,347.3303
13000,354.7581
13500,362.2955
14000,363.6923
14500,375.6838
15000,383.6002
15500,391.6468
16000,401.65
16500,411.138
17000,426.8553
17500,438.9234
18000,446.058
18500,454.8091
19000,466.5412
19500,482.6287
20000,492.7962
20500,502.6741
21000,512.0795
21500,521.5589
22000,531.1895
22500,550.5247
23000,568.449
23500,583.0681
24000,597.186
24500,608.0138
25000,618.8416
25500,630.7558
26000,652.1912
