0,5
200,5
400,5
600,5
800,5
1000,5
1200,5
1400,10.4462
1600,13.0901
1800,14.2815
2000,17.9227
2200,18.0125
2400,18.125
2600,18.2375
2800,18.4517
3000,19.8367
3200,21.2658
3400,22.0961
3600,23.4864
3800,23.9908
4000,24.7406
4200,25.0451
4400,25.7942
4600,26.2
4800,26.8929
5000,28.1716
5200,28.396
5400,28.5
5600,28.8
5800,29
6000,29.2
6500,30.5182
7000,32.2817
7500,39.7382
8000,41.0586
8500,45.8883
9000,47.7466
9500,49.6768
10000,49.0304
10500,49.6713
11000,47.0932
11500,36.1854
12000,35.3418
12500,33.8637
13000,33.1
13500,31.2
14000,29.86
14500,28.8
15000,28.026
15500,25.8761
16000,25.2
16500,24.1034
17000,19.8405
17500,15
18000,13.6364
18500,12.2727
19000,10.9091
19500,9.5455
20000,8.1818
20500,6.8182
21000,5.4545
21500,4.0909
22000,2.7273
22500,1.3636
23000,0
23500,0
24000,0
24500,0
25000,0
25500,0
26000,0
